epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,6425.32,0.5652,0.33581,0.95118,0.96699,0.98748,0.99184,0.87822,0.6488,0.33459,1.05691,0.0094654,0.0094654,0.0094654
56,6541.67,0.56126,0.33292,0.94823,0.96766,0.98619,0.99217,0.89142,0.62612,0.33582,1.05315,0.0094555,0.0094555,0.0094555
57,6657.79,0.56071,0.33126,0.94354,0.9654,0.997,0.99154,0.88417,0.63678,0.33082,1.04711,0.0094456,0.0094456,0.0094456
58,6774.74,0.565,0.32909,0.94589,0.96837,0.98652,0.99138,0.8683,0.64611,0.33868,1.04183,0.0094357,0.0094357,0.0094357
59,6890.98,0.55888,0.33113,0.94487,0.96668,0.98352,0.99057,0.88388,0.62845,0.33916,1.06294,0.0094258,0.0094258,0.0094258
60,7007.04,0.56048,0.32789,0.95151,0.96472,0.97978,0.99051,0.88606,0.62471,0.3459,1.0417,0.0094159,0.0094159,0.0094159
61,7123,0.5522,0.33273,0.93861,0.96393,0.98727,0.99054,0.88031,0.64582,0.36394,1.03851,0.009406,0.009406,0.009406
62,7238.96,0.55926,0.33262,0.9461,0.97974,0.97816,0.99164,0.88528,0.63066,0.31583,1.03913,0.0093961,0.0093961,0.0093961
63,7354.57,0.55125,0.32703,0.94284,0.97272,0.98827,0.992,0.88959,0.62927,0.31002,1.06299,0.0093862,0.0093862,0.0093862
64,7471.1,0.54147,0.32605,0.94606,0.96508,0.99365,0.99169,0.88834,0.6269,0.3057,1.06675,0.0093763,0.0093763,0.0093763
65,7587.46,0.55112,0.326,0.94244,0.97259,0.98347,0.99116,0.88694,0.6328,0.31539,1.04598,0.0093664,0.0093664,0.0093664
66,7703.63,0.54992,0.32529,0.94517,0.98039,0.9738,0.99133,0.89133,0.62137,0.31349,1.05648,0.0093565,0.0093565,0.0093565
